Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
1,156.5,39.71460688,4,1.5,1.118033989,8276.697947,0.302052825,27401.49156,Star
2,123.25,15.10587634,4,1.5,1.118033989,79594.57001,0.429991644,185107.2484,Debris
3,123,0,1,0,0,52637,0,inf,Debris
4,133,21,2,0.5,0.5,269523.4712,144.0287559,1871.317082,Debris
5,127.2,35.25563785,5,1.833333333,1.067187373,433137.231,194.209011,2230.263306,Debris
6,180.4,38.81546084,5,2,1,323978.0203,410.2197027,789.7670887,Debris
7,164.8333333,43.70386456,18,2.857142857,1.273753893,267413.1398,2978.033042,89.79522255,Star
8,96,0,1,0,0,144797,0,inf,Debris
9,135,35.35533906,3,1.75,1.089724736,4623.682399,0.095378523,48477.18578,Debris
10,170.65625,40.58294698,32,3.142857143,1.51691147,389669.6901,26083.82555,14.93913113,Star
11,151,43.20493799,3,0.666666667,0.471404521,127229.4977,2211.502278,57.53080112,Debris
12,119.5,10.5,2,0.5,0.5,90173.50563,1870.994366,48.19549822,Debris
13,100,0,1,0,0,8857,0,inf,Debris
14,141.4,41.09793182,5,1.833333333,1.067187373,319978.4721,3170.767905,100.9151353,Debris
15,129,11,2,0.5,0.5,205265.7613,2911.738677,70.49594215,Debris
16,183.5,9.5,2,0.5,0.5,54619.5606,2980.939396,18.32293561,Debris
17,134.6666667,25.4863798,3,1.5,1.118033989,45059.7721,0.005681343,7931183.832,Debris
18,143.3333333,34.72111109,3,1.5,1.118033989,286870.2112,0.233235944,1229957.127,Debris
19,135.3333333,33.92475334,3,1.5,1.118033989,116970.3623,0.082106269,1424621.581,Debris
20,168.5,3.5,2,0.5,0.5,22115.99699,180.5030088,122.5242567,Debris
21,144,17.23368794,4,1.5,1.118033989,139816.9791,0.020855836,6703973.82,Debris
22,116,0,1,0,0,93938,0,inf,Debris
23,149,0,1,0,0,37748,0,inf,Debris
24,97,0,1,0,0,118388,0,inf,Debris
25,161.7857143,42.79048387,14,2.8,1.029563014,273541.9527,14297.86365,19.13166605,Star
26,172.1030928,48.09629899,291,4.936904762,2.908046299,4291709.294,520512.8634,8.245155107,Star
27,141.25,11.49728229,4,1.5,1.118033989,228240.9596,0.040378379,5652553.782,Debris
28,167.25,15.59447017,4,1.5,1.118033989,110288.9755,0.02451741,4498394.273,Debris
29,160,46.32493929,6,1.833333333,1.067187373,84542.04528,567.4547154,148.9846555,Debris
30,170,36.22154055,6,2,0.816496581,178030.6625,17739.83755,10.03564221,Debris
31,139,44.33959855,4,1.833333333,1.213351648,234036.8302,22045.79483,10.61593977,Debris
32,127,18.23915203,3,1.5,1.118033989,365403.7466,0.031137551,11735147.29,Debris
33,180.3636364,33.31467798,11,3,1.966384161,412166.2053,28962.79472,14.23088515,Star
34,127,0,1,0,0,219040,0,inf,Debris
35,167.2857143,42.91091864,7,2.222222222,1.030402055,267594.0661,1.17876916,227011.4244,Star
36,114.5,10.5,2,0.5,0.5,307925.894,36611.60599,8.410608758,Debris
37,144,33.3091579,4,1.5,1.118033989,210484.8461,0.153930321,1367403.408,Debris
38,153.2,35.7121828,5,1.833333333,1.067187373,250429.6779,21691.36209,11.54513381,Debris
39,96,0,1,0,0,179513,0,inf,Debris
40,183,37.85762803,5,1.833333333,1.067187373,213245.2264,9177.413565,23.23587413,Star
41,96.33333333,0.471404521,3,0.666666667,0.471404521,321177.5176,50531.48241,6.355988431,Debris
42,123,26,2,0.5,0.5,244320.7648,36683.73521,6.660193228,Debris
43,162,0,1,0,0,248405,0,inf,Debris
