Image,Object ID,Area,Edges,Center_x,Center_y,Width,Height,Prediction
NEOS_SCI_2024001000555.fits,1,1,-,177.0,0.0,1,1,Star
NEOS_SCI_2024001000555.fits,2,18,-,249.5,2.3333333333333335,4,6,Not a Star
NEOS_SCI_2024001000555.fits,3,2,-,208.5,15.0,2,1,Star
NEOS_SCI_2024001000555.fits,4,4,-,283.5,34.5,2,2,Not a Star
NEOS_SCI_2024001000555.fits,5,4,-,347.5,35.5,2,2,Not a Star
NEOS_SCI_2024001000555.fits,6,37,-,348.0810810810811,52.13513513513514,5,17,Not a Star
NEOS_SCI_2024001000555.fits,7,4,-,218.5,50.5,2,2,Not a Star
NEOS_SCI_2024001000555.fits,8,5,-,169.0,53.0,3,3,Not a Star
NEOS_SCI_2024001000555.fits,9,3,-,100.33333333333333,54.666666666666664,2,2,Not a Star
NEOS_SCI_2024001000555.fits,10,1,-,183.0,61.0,1,1,Star
NEOS_SCI_2024001000555.fits,11,6,-,165.16666666666666,67.16666666666667,3,3,Not a Star
NEOS_SCI_2024001000555.fits,12,4,-,65.5,68.5,2,2,Not a Star
NEOS_SCI_2024001000555.fits,13,1,-,52.0,77.0,1,1,Star
NEOS_SCI_2024001000555.fits,14,1,-,186.0,79.0,1,1,Star
NEOS_SCI_2024001000555.fits,15,6,-,283.0,84.5,3,2,Star
NEOS_SCI_2024001000555.fits,16,2,-,260.0,95.5,1,2,Not a Star
NEOS_SCI_2024001000555.fits,17,3,-,87.33333333333333,101.66666666666667,2,2,Not a Star
NEOS_SCI_2024001000555.fits,18,10,-,278.0,102.2,3,4,Not a Star
NEOS_SCI_2024001000555.fits,19,1,-,337.0,109.0,1,1,Star
NEOS_SCI_2024001000555.fits,20,3,-,38.666666666666664,115.33333333333333,2,2,Star
NEOS_SCI_2024001000555.fits,21,1,-,333.0,117.0,1,1,Star
NEOS_SCI_2024001000555.fits,22,4,-,318.5,125.5,2,2,Not a Star
NEOS_SCI_2024001000555.fits,23,4,-,374.5,126.0,2,3,Star
NEOS_SCI_2024001000555.fits,24,2,-,339.5,128.0,2,1,Star
NEOS_SCI_2024001000555.fits,25,1,-,364.0,132.0,1,1,Star
NEOS_SCI_2024001000555.fits,26,3,-,284.6666666666667,141.33333333333334,2,2,Not a Star
NEOS_SCI_2024001000555.fits,27,5,-,328.8,141.6,3,2,Not a Star
NEOS_SCI_2024001000555.fits,28,4,-,321.5,153.5,2,2,Not a Star
NEOS_SCI_2024001000555.fits,29,1,-,385.0,152.0,1,1,Star
NEOS_SCI_2024001000555.fits,30,6,-,242.0,167.5,3,2,Star
NEOS_SCI_2024001000555.fits,31,2,-,235.5,168.0,2,1,Star
NEOS_SCI_2024001000555.fits,32,2,-,170.0,170.5,1,2,Star
NEOS_SCI_2024001000555.fits,33,2,-,259.5,176.0,2,1,Star
NEOS_SCI_2024001000555.fits,34,2,-,244.0,184.5,1,2,Not a Star
NEOS_SCI_2024001000555.fits,35,2,-,217.5,187.0,2,1,Star
